datetime,high,low,open,close,volume,symbol
1654701060000,117.936,117.835,117.835,117.8985,25920,GOOG
1654701120000,117.979,117.86325,117.882,117.979,19600,GOOG
1654701180000,117.99,117.9495,117.99,117.9495,22000,GOOG
1654701240000,118.05,118.05,118.05,118.05,8960,GOOG
1654701300000,118.2,118.029505,118.185,118.029505,24000,GOOG
1654701360000,118.2635,118.098,118.098,118.2635,17880,GOOG
1654701420000,118.45,118.264125,118.264125,118.42125,35720,GOOG
1654701480000,118.421,118.34691,118.421,118.396,17800,GOOG
1654701540000,118.4315,118.406,118.406,118.43025,10000,GOOG
1654701600000,118.4015,118.35,118.4015,118.35,13500,GOOG
1654701660000,118.45,118.394,118.4035,118.4215,56980,GOOG
1654701720000,118.3865,118.3,118.3865,118.3545,25520,GOOG
1654701780000,118.3935,118.3625,118.3625,118.3935,4000,GOOG
1654701840000,118.402,118.33,118.34187,118.402,24000,GOOG
1654701900000,118.487,118.402,118.402,118.465,49500,GOOG
1654701960000,118.464,118.411,118.455,118.44225,32440,GOOG
1654702020000,118.6055,118.43725,118.43725,118.6,66160,GOOG
1654702080000,118.592,118.579,118.57925,118.592,40000,GOOG
1654702140000,118.646,118.543,118.6185,118.543,14000,GOOG
1654702200000,118.48925,118.39,118.48925,118.39,9200,GOOG
1654702260000,118.44069,118.37,118.39525,118.3875,13600,GOOG
1654702320000,118.544375,118.436,118.4485,118.544375,11600,GOOG
1654702380000,118.59125,118.51,118.515,118.51,20000,GOOG
1654702440000,118.445,118.3555,118.445,118.3555,22120,GOOG
1654702500000,118.46,118.4545,118.4545,118.46,5600,GOOG
1654702560000,118.421,118.42,118.42,118.42,6000,GOOG
1654702620000,118.42,118.42,118.42,118.42,2000,GOOG
1654702680000,118.36738,118.2735,118.346005,118.2735,30000,GOOG
1654702740000,118.4285,118.3785,118.38325,118.4285,6000,GOOG
1654702800000,118.5275,118.5275,118.5275,118.5275,2000,GOOG
1654702860000,118.50675,118.339,118.461555,118.33975,26760,GOOG
1654702920000,118.375,118.305,118.34751,118.3385,23600,GOOG
1654702980000,118.295,118.1585,118.295,118.1585,37600,GOOG
1654703040000,118.15,117.9615,118.15,117.9615,17200,GOOG
1654703100000,118.10525,117.94425,117.957,118.10525,35000,GOOG
1654703160000,118.13475,118.13475,118.13475,118.13475,2000,GOOG
1654703220000,118.122,118.091755,118.091755,118.122,9200,GOOG
1654703280000,118.05475,118.05475,118.05475,118.05475,2000,GOOG
1654703340000,118.05775,117.986,118.0545,117.986,24000,GOOG
1654703400000,117.9945,117.9945,117.9945,117.9945,2000,GOOG
1654703520000,118.1555,118.0245,118.1545,118.086,31600,GOOG
1654703580000,118.181,118.02,118.02,118.181,11600,GOOG
1654703640000,118.1185,118.1185,118.1185,118.1185,2080,GOOG
1654703700000,118.07,118.0195,118.07,118.0195,4000,GOOG
1654703760000,118.1,118.0195,118.02,118.0885,8000,GOOG
1654703820000,118.081995,117.923,118.0015,118.081995,33600,GOOG
1654703880000,117.954,117.954,117.954,117.954,3600,GOOG
1654703940000,117.92325,117.8915,117.9005,117.923,19560,GOOG
1654704000000,117.873,117.82675,117.873,117.86,6000,GOOG
1654704060000,117.9995,117.9995,117.9995,117.9995,20000,GOOG
1654704120000,118.1,118.057,118.085,118.1,15600,GOOG
1654704180000,118.12275,118.0965,118.0965,118.1205,17600,GOOG
1654704240000,118.10875,118.034695,118.10875,118.034695,18100,GOOG
1654704300000,117.98,117.9005,117.98,117.9005,8000,GOOG
1654704360000,117.986,117.8845,117.8875,117.986,15200,GOOG
